model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
dnn,0.9,2,8,0.5,1.0,0.03963110757339746
dnn,0.9,2,8,0.5,10.0,0.033235749106854194
dnn,0.9,2,8,1.0,0.1,0.0410867165972789
dnn,0.9,2,8,1.0,1.0,0.03771368060850848
dnn,0.9,2,8,1.0,10.0,0.033298341955989595
dnn,0.95,1,2,0.0,0.1,0.035701063420313116
dnn,0.95,1,2,0.0,1.0,0.03292788587883116
dnn,0.95,1,2,0.0,10.0,0.018957839481532582
dnn,0.95,1,2,0.5,0.1,0.02836065483186395
dnn,0.95,1,2,0.5,1.0,0.029723502398158123
dnn,0.95,1,2,0.5,10.0,0.020388876159985872
dnn,0.95,1,2,1.0,0.1,0.03064234478926908
dnn,0.95,1,2,1.0,1.0,0.02696121410063159
dnn,0.95,1,2,1.0,10.0,0.01967775719302398
dnn,0.95,1,4,0.0,0.1,0.05737597048810373
dnn,0.95,1,4,0.0,1.0,0.04115799957793208
dnn,0.95,1,4,0.0,10.0,0.019210107019792016
dnn,0.95,1,4,0.5,0.1,0.03971299864103397
dnn,0.95,1,4,0.5,1.0,0.030949881737120464
dnn,0.95,1,4,0.5,10.0,0.019147375794748477
dnn,0.95,1,4,1.0,0.1,0.03035929674034318
dnn,0.95,1,4,1.0,1.0,0.02643450074503199
dnn,0.95,1,4,1.0,10.0,0.019719234615564362
dnn,0.95,1,8,0.0,0.1,0.052014107706335674
dnn,0.95,1,8,0.0,1.0,0.03464936490698407
dnn,0.95,1,8,0.0,10.0,0.019412845258911463
dnn,0.95,1,8,0.5,0.1,0.036133227831684066
dnn,0.95,1,8,0.5,1.0,0.028413842619086315
dnn,0.95,1,8,0.5,10.0,0.019649537652575735
dnn,0.95,1,8,1.0,0.1,0.029559970890637496
dnn,0.95,1,8,1.0,1.0,0.026087262922121848
dnn,0.95,1,8,1.0,10.0,0.019979106515956437
dnn,0.95,2,2,0.0,0.1,0.020445680867259713
dnn,0.95,2,2,0.0,1.0,0.020220856036990895
dnn,0.95,2,2,0.0,10.0,0.020247435517609127
dnn,0.95,2,2,0.5,0.1,0.03390243964952729
dnn,0.95,2,2,0.5,1.0,0.020237318864713128
dnn,0.95,2,2,0.5,10.0,0.020282862364004065
