model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.05,2,4,1.0,0.7368062997280775,0.018020992387086158
linear_activation,0.05,2,4,1.0,0.8145479666433055,0.018021963346749544
linear_activation,0.05,2,4,1.0,0.900492287060531,0.018121004994958632
linear_activation,0.05,2,4,1.0,0.9955047366910887,0.017919188107053435
linear_activation,0.05,2,4,1.0,1.1005421090383833,0.017938282933086153
linear_activation,0.05,2,4,1.0,1.2166621504910964,0.018120379332453012
linear_activation,0.05,2,4,1.0,1.3450342120312204,0.01808662309249243
linear_activation,0.05,2,4,1.0,1.4869510248216484,0.01808662267650168
linear_activation,0.05,2,4,1.0,1.643841718255735,0.018120380226522684
linear_activation,0.05,2,4,1.0,1.8172862115630761,0.01804933937514822
linear_activation,0.05,2,4,1.0,2.0090311238977194,0.018120380418996013
linear_activation,0.05,2,4,1.0,2.221007363126434,0.018120380412787195
linear_activation,0.05,2,4,1.0,2.4553495704394916,0.018009791848560174
linear_activation,0.05,2,4,1.0,2.7144176165949077,0.018009791842351356
linear_activation,0.05,2,4,1.0,3.000820366267417,0.018046174902468924
linear_activation,0.05,2,4,1.0,3.3174419498137175,0.01791981324801842
linear_activation,0.05,2,4,1.0,3.667470807015676,0.01799682382121682
linear_activation,0.05,2,4,1.0,4.0544317952775275,0.017982887131472433
linear_activation,0.05,2,4,1.0,4.482221685612751,0.01804933942481875
linear_activation,0.05,2,4,1.0,4.955148403871969,0.01804933942481875
linear_activation,0.05,2,4,1.0,5.477974412378556,0.017982887125263615
linear_activation,0.05,2,4,1.0,6.055964668833263,0.018120380369325475
linear_activation,0.05,2,4,1.0,6.69493964544323,0.018120380369325475
linear_activation,0.05,2,4,1.0,7.4013339421880975,0.018120380369325475
linear_activation,0.05,2,4,1.0,8.182261084470007,0.01804933942481875
linear_activation,0.05,2,4,1.0,9.045585157672232,0.018009791848560174
linear_activation,0.05,2,4,1.0,10.000000000000002,0.01791981324801842
linear_activation,0.05,2,8,1.0,0.2,0.026553484075081846
linear_activation,0.05,2,8,1.0,0.22110233502181484,0.02628248602710664
linear_activation,0.05,2,8,1.0,0.24443121276049423,0.026174886118931078
linear_activation,0.05,2,8,1.0,0.27022155946779647,0.026412773991624516
linear_activation,0.05,2,8,1.0,0.29873308885782995,0.026069646830980973
linear_activation,0.05,2,8,1.0,0.33025291747372754,0.026304982184432446
linear_activation,0.05,2,8,1.0,0.36509845600603935,0.026025722921825943
linear_activation,0.05,2,8,1.0,0.4036206056789731,0.023419370293617243
linear_activation,0.05,2,8,1.0,0.44620729189270064,0.02723679619003087
linear_activation,0.05,2,8,1.0,0.4932873707061831,0.018000477728744347
linear_activation,0.05,2,8,1.0,0.5453349474995434,0.025852803736304244
linear_activation,0.05,2,8,1.0,0.6028741513057392,0.017984752769271535
linear_activation,0.05,2,8,1.0,0.6664844128899691,0.025258698205153148
linear_activation,0.05,2,8,1.0,0.7368062997280775,0.01800360837578774
linear_activation,0.05,2,8,1.0,0.8145479666433055,0.017983436108877263
linear_activation,0.05,2,8,1.0,0.900492287060531,0.017984442315995698
linear_activation,0.05,2,8,1.0,0.9955047366910887,0.018024925051877902
linear_activation,0.05,2,8,1.0,1.1005421090383833,0.01800266986340284
linear_activation,0.05,2,8,1.0,1.2166621504910964,0.018011454718808332
linear_activation,0.05,2,8,1.0,1.3450342120312204,0.01793703125417232
linear_activation,0.05,2,8,1.0,1.4869510248216484,0.018001212685058512
linear_activation,0.05,2,8,1.0,1.643841718255735,0.01799368361880382
linear_activation,0.05,2,8,1.0,1.8172862115630761,0.01804617502664527
linear_activation,0.05,2,8,1.0,2.0090311238977194,0.017972990307956935
