model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,2,1.0,6.055964668833263,0.090029896643073,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,1.0,9.045585157672232,0.090029896643073,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,4,0.5,4.054431795277528,0.090029896643073,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.5,4.054431795277528,0.090029896643073,dnn,5.684341886080802e-14,1.2262222526260302e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,0.5,9.045585157672232,0.090029896643073,dnn,5.684341886080802e-14,1.2262222526260302e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,1.0,1.643841718255735,0.090029896643073,dnn,8.225242860947224e-14,6.563291208294686e-06,0.7851186394691467,1.0476433047760365e-13,True
dnn,0.05,2,4,1.0,5.477974412378556,0.090029896643073,dnn,1.4210854715202004e-14,8.723098687823949e-09,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,1.0,3.667470807015676,0.090029896643073,dnn,1.4210854715202004e-14,8.723098687823949e-09,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,0.8145479666433055,0.0900298966679082,dnn,3.0193519125892854e-12,1.5683493614915278e-08,0.7851186394691467,3.845726952337805e-12,True
dnn,0.05,2,2,1.0,0.900492287060531,0.0900298966679082,dnn,2.4634743897578026e-11,6.563291208294686e-06,0.7851186394691467,3.137709724257045e-11,True
dnn,0.05,2,2,0.0,1.643841718255735,0.0900298966679082,dnn,1.0288658488545599e-14,1.5683493614915278e-08,0.7851186394691467,1.3104590785797945e-14,True
dnn,0.05,2,8,0.0,2.221007363126434,0.0900298968665904,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,2,0.5,1.4869510248216484,0.0900298969162609,dnn,1.89857014116189e-14,1.6458682239317568e-07,0.7851186394691467,2.4181952200824028e-14,True
dnn,0.05,2,4,0.5,1.817286211563076,0.0900298971149431,dnn,0.0,2.447398950167212e-10,0.7851186394691467,0.0,True
dnn,0.05,2,8,0.0,1.3450342120312204,0.0900298971397783,dnn,2.233946399176831e-14,1.0007839001957564e-08,0.7851186394691467,2.8453615630464464e-14,True
dnn,0.05,2,2,0.5,0.6664844128899691,0.0900298971894489,dnn,7.054341832901656e-11,1.6458682239317568e-07,0.7851186394691467,8.98506477654308e-11,True
